Rucsac: Solutie Random n-50 k-10000

Solutii:
V	G	Solutie
471	118	11110001111001010000000010111001000000100110011001

822	159	11101011110010011100111111001010010011010001111110

753	168	01111011001111111100100011010011010111011000010110

757	150	10000111111001011001111011000011011100101010000111

595	139	01100111010010110110110001001001110101000011011011

622	126	10011101101100010100000101111101001000001110011001

666	142	01001111111101010110001101010100001000100100000110

721	154	01111001001101011100000111000111101011101000101111

590	104	11101000010101011000001100101000000101000001110100

624	104	01101110000100001011001001000011001001110010011011

734	129	01000010110000011110101110110110101001011110110010

806	165	01111110101100111101110111101010000011010011110100

482	114	11000011111010010001000000001101000111100000111100

652	138	01110100110011000110001011010101011100001110101011

644	125	10110001011000000111011100111110110100111101000010

691	134	11001111011100001001001100011111010110001000000101

563	103	00111010010011010010100001000010011100100100001001

787	171	01100111100100010111111111111110010010111010101010

777	136	11001101010011101100101011101110101001100111001110

865	162	10100110000101111100001110011111101111001001101111

647	147	01001101010111011100000001101001111001101110000011

733	144	10001101111100101011110000000011111110111111001010

805	163	11001110110110101001010011011110100111010111110011

635	140	00101001000101000101110101111010110101001111001100

553	131	11000100011111111101100000110101100100000001101010

617	131	10000110101001011000011010101001001011010100010010

533	103	00111010100000010110001001001110100000101100110001

573	99	10000010001100100011000101101101010101110101001000

659	121	10000100000110010111110101100110100101011011101011

619	125	00110110100010010000010010010011011010110000111110

657	112	10101001001000011011110001100011000011100011100110

631	117	00101010000100101000010011000001011100101111011011

523	98	10000000010100010101110001100000100111000011011110

634	161	01100011100110011000111111111001100110001000000100

801	167	11011111010001001111100110001011101111111101110001

866	159	01110110111000111010100101111101011101111110000111

606	124	11111011001101011010000000011101001010010000110010

791	170	01100110011011100111110111110011011100001100110101

634	124	00001110100110110110000111011100000101011010101001

548	129	01010000101110011001110001001000111000100100111110

543	114	10110001000001001010010000110001100010101111110011

551	104	00000000110100000011011001001010111001011101110011

652	160	11101011101110110100000110100100100011111100011001

644	109	10100000000011011010011011110000011001000100110100

816	131	10001110001010111110011001101010011010000111010010

815	176	11111001010110011100011001011001111111000111101011

535	135	00100100100011110101110011001001001100100001110101

463	114	00110001100101100100110011010000000001100110010110

587	126	01101011010001010010000010101000001011100101010011

555	105	00111010000110000010011110000000010100101110001000

750	164	10011101101010011101111000101101111000111111110001

474	93	11010000010001000110111001110000101001011000110010

516	119	01010101001011101010101101100000000100001101100001

720	132	10011110010111101000101010010001010001101110011011

653	109	10010010010111101010011001101110000010101100011001

820	150	10110110011111010011010100110010110001111011010111

720	115	11101010010000100000101111101010100001011111101110

469	84	01010000000000011110101000111000000100000000111110

694	132	11001001011100000111000111001101011100001111101011

488	90	10011010100000100001001101010010100100101000101000

766	136	11111101000001000000000111110111001111100010111110

737	155	10001111100101110111100111011010110101000001001010

605	125	00101110111111000100000000000100011100010111001101

676	134	00101110011100011100100000010001011110011111010010

593	124	00001001001001010110101011011100101111110010110000

608	148	00000111100111010011101000111101001001111100100001

659	174	01011111100001110101111000011001111111000001001100

501	95	10101000001110000011000001111000000100000101010011

595	111	00100000010111000000011110001110100111101011011100

749	146	01011110111010101111010000010110001011000111111011

689	148	00000100011111111101010000101011110001101111100101

612	121	10101000001011000011000010111001111100001101100100

681	107	10001110011110100110001011000010010001111110000010

725	151	01011010110101111010110111011100100111100001000100

777	175	10110011111111100100011101101001111011001110011001

732	151	11001110100111101001111011111110010000011000010011

495	112	11100101011110011000100011110101000000000101000000

727	139	10000111110000111011110010100110110111000101000100

748	138	11101100010011011111001011101010100010000000110111

550	107	10010101001001010011000001001110110011000111001001

586	171	01111111101101001101010010010001000101000101110001

554	127	01110010111010001110001010011000100011101000101011

876	156	10011011000011111110111101110010101100111110011100

767	132	11111010011010011111001001010101001000000110101111

803	144	00010110010111111110000101001000011110111110110101

817	162	11010000011111001001010111100101011111100111110011

690	167	00001110100111011101111001011100000111101101011001

537	106	00110010000010001101000000110100110010101000111111

717	126	01111110001000111010100111000011001100011011110001

616	114	10010000111111010000000010001011010010000010111111

770	169	11011011100101101100111010101101111001001101101100

985	179	11111110011101011110000111110101001110101110011111

857	173	10001101110111011100111101010010110101001110011111

520	135	11101001101101001000010001111001100100101011000001

839	152	01001011010101111110101111010111001111011010001100

751	155	00011111100000101001001110011001111111010011111001

849	176	11011010100101001100111011110111111111111000101010

683	120	11010100100000011110110001101110110011110011100100

680	153	10101101000101010110011001111101100010001100111011

506	109	00101101100000100010000000010101101110001111011001

780	152	10111111000111010011011000101100110011011011001110

711	136	11001101110100010111111001111010001000100010011101

656	123	00110010000111000010101011010111101000111111000011

623	128	00100000110010110001111110010101011101011000100110

602	119	10011101010011000100010011101011100101010000011110

475	121	00001101100000000001110010000111110111110100010000

692	149	01011011110000111100111101100001010001010001111011

665	136	10011111110110100100000000111101111101010010001001

633	132	00111011111010100001000000001111101111011000011111

665	121	10101100010100001000100011010001011111000100111011

658	151	11000111101111011010101001101000000011010100010011

804	145	10011111001011101010011011100011010110000110000100

726	158	11011111001100010111101111000100000111111100011001

764	119	10111000001100000011100001110111111001000111011111

663	139	10010111101011011001001000001011011101011001100010

585	122	11101111010000101001010100001001110010100001011100

487	114	11110111010000001100110000011001000010111010111001

647	115	00111100010000110010111111101000000010111010100011

521	122	11110000111001011001011001000011110100000000010001

712	146	00110100101011110111010100110100001111100010011110

542	135	11110001100011101001010100100011100010110101011000

599	117	00010100001111001000001111011000001101100111100000

620	125	01001100001110101011010100010101011001110110001001

656	137	11101001101000100010111001011010101100001111110011

557	113	00010111011001100010100000010001101000110111111101

645	121	01011111110010001011100011010100001101100010101100

451	116	00110111010111000001001001010100100101011000100001

563	101	00011010001010010000100000110011101001010110010100

666	101	10101100000000111110100100101111000001010100011101

565	133	00100011100110010110011010000000100011010001011111

698	137	00010110111000100100001101101101111010100111101001

569	100	11011111010000100010100100110100100000011110011010

703	162	00010011101011111110111000111101101101001011100001

529	150	01100001111111011100110100000110100100001101100001

654	136	11010001101010011110011010100011100010011011001101

600	92	10000000000111010010101001000110101000101110101110

852	170	11110010101110111110111100110010011001110101000011

771	143	01111100010110110111001110100100000101111110111100

746	157	01001010001111010100100110110111101001001110000111

903	165	10010110011101011101001101110001111001110111010111

751	161	11011001001110101101111100001111101011011100110101

686	155	00100101110011111000110110100000110101000110111101

719	143	11011011111101001101000111101110100000110110000100

663	146	11111001001001100101100111110101100010001010110111

627	111	00000000010101001000101011011111110110001010110101

683	146	00101111011011001000100111111000100010111101110100

548	135	00000101101011111001010100101100001100011101011001

792	151	10110001110111110110000011110100011101000101011111

680	114	00011100100010001111000010100101001011100011011111

663	142	01001010111011100110111011111000000011011010010101

666	136	10110010100110100101011000011000011111101011100100

596	104	00001001001011000011001100011110001100010011101101

562	120	00001001111110001001010111011100001100011001101010

740	144	00111111011111000011000110101100101100001011000111

544	118	00010010100100011000011110010001100011011010110000

548	123	10000100101101110000111001111100100011001011100000

752	144	01010010011001111010100110110011001111001100111010

640	120	00110010100100011011101001010000011110101000110100

727	157	01101011101010110011011111010110111000110000101010

656	141	11110101000011110111000111000101110011100011001010

609	119	10100101111011110010100001001100001010110111000101

645	133	11011000100000111001010000101101101101011101110101

844	171	01011100100111101110100010110111111101000100110111

630	117	00110011001100111011100000010010000101010110110110

696	129	11110010101100010001001011001110010000101111100110

638	108	11110000010000101001110011111111010000100110101100

712	126	10011000000010001100111110111010111000100100100101

616	130	00011110111001101110010111110000110000101000000001

861	172	11111110111101100111000101001111101011111100111101

772	147	11101001110000111010111111010101110001100011011011

721	112	11011010010000110011100110100110001001111001111011

462	117	11110001001001110000110010000000000111010000011111

658	146	00100101000110011101000110001000111100100101101111

496	92	01010011000100001010001000011011101000011001100100

701	153	11000011001101000101111000000110111111001111010110

706	125	01111011010001001010010111010010001011100001011110

590	134	11000100000111011101101100110000100011001010001011

670	140	11000010101110101000111101011101010111001010110000

649	105	10111010110010110010010000000010010011000111001100

785	144	10111010101000110001011111100100111010000011111010

845	171	10001111110110010001111011110011111010100001111100

773	125	10110110110010000010000101000011111110111011111101

803	145	00001110011110110010111010111110100011011111010100

504	112	11000001100001000100100000101010111011100001011101

566	118	00100011000101000011010000001101011011111110000110

610	140	00110110101010111101011000101110000011100100000001

584	124	11111010011111100110100110000000000111011000000010

749	150	01001000100000000111011110111001011110100011101111

587	140	01001110001000111101110110001001000100101101011010

808	151	11001111000110001110101011110011001110000111000010

793	145	11011101001100101100101110010110001011111110000111

624	115	10111110000101000001101000001000111000000111111100

658	141	01000111100100010110101010111100000000011110111111

729	176	01000111101001000000111100111110110110100101101111

668	139	11010001000111100110001011010100110101100111011011

496	97	00110000110110101100011000000011000100000011101010

483	92	10010001010011000010100000001100110111100011000011

489	108	10001001111101000000000001100101111001011100000001

495	123	01010001010001110110110001011000000110001111111001

645	128	10100100010111100010011001010101100110101100110110

578	113	01010010100100001001101000010010000101110110110110

728	134	00110101010010111010011110111000011100000000100111

566	140	11100010100011001111110000000101000111111100010011

641	128	01100111010000111001100101110010001110110001010010

478	98	11011000100010100001101000101001000000100010111011

592	103	10110011100001001001001101001101001001100011001100

724	141	11101010010111111011100010001110100100001110100011

526	116	00001110000011010100011100100100000001011101010001

499	98	00100110010110010100100100000110000100000101010010

789	118	10010110010110001011011011100100011100010011001111

588	139	01011110001011010001010010000010010101100001110011

697	156	00010111101111100111011000110110001001011101011011

599	94	10000000010101010110101101101001011000001000001110

759	156	01011000111101011011111111011000011110011001001100

692	163	00100100111101010101111101110010100110000110110010

714	167	01111011000101110111001110010000001110110100010011

680	117	00000000101101011100001111101110001101110010001100

700	153	01011111111110000101001001000101101001110110111110

709	165	10110111111011110101000100010101111111110001011000

765	141	11011000010111111100101110000111011001010100001011

677	152	11100010111111011100001000000001101010101111110010

655	111	00101110100100100110001101011110000010001000110110

749	144	01110110100111100010100111001110010101101011101101

477	104	00010011100000010001111000101110001000110101010000

645	138	11110101101010101101100000011110010101010110000111

734	141	10101000110111010100101101110011101101000010111000

811	161	10101011001111000010101100101010110111110101111010

583	131	01111000100001000111111010000011000101101011011011

678	143	01111010100011110011011111001001011000010010110000

687	125	11011100000110001101001100001011111010111010010010

600	122	00101110111000011000011001000010100011110100011010

607	98	10010110000001100010010001110011000011000011000111

778	138	11111100101110101011001111100100011001111000101010

494	128	01000010100011110000010000010101001110001101001101

618	123	11001111000001000011011000100011000011110110001100

766	145	11110010100111000011001101011111011101011001110010

761	154	11001100111111011010011100101000110001110100110100

595	106	00101101010001000010011111000010001100111010001011

662	137	10110111110101000100111001101110000010110101010100

673	117	10011101110001011000000011100110101000011100010111

616	138	01010001001101101101010010001111111000101110111100

574	122	11010110111111100001001010000100001001111111000000

830	146	00111110110000111000000100110110101110110101011111

754	137	10011100111010110001000100110110110011111001100111

713	122	11011010100110010000000101110011001100001010011110

725	147	00110011110010000011101110101001111101000001100111

636	118	01100000011110101001001101001111110101010001110100

681	144	10011111001101010110110001110101010000010101000101

583	135	00110110100011011000000110011000110001111101010001

701	159	01111011010111001100110101110101100100011011100101

690	125	10000010010101000011100111110100101110000111110001

752	148	00111000010101010111111101010010010110011110011011

584	112	10110011100000010000001101011101011101110000011000

675	122	10100101010101011011001000110101000100100010101111

568	105	10000100011100111111000010011101000111010001000010

652	120	11000010111110000011000100000010111111000010111010

806	162	10111111111100110110111110000001010001001111011010

614	136	01110110010001100011101011111000110010101100111000

733	146	00101110111101101101001011010011010101011000001110

643	146	00001111011111111001010101101000110001101000111000

784	157	11000000111111011110001001010011010110110111101011

509	121	01000010110011010011110001110001011000110001100000

674	135	11111101010001100010111100010001010100100110110100

733	111	00010110100000101110010101110110001011100011010110

605	122	01011110010010100101100000111000001111110011011010

708	144	01111011010111101110000101001101000101110111011001

649	141	11010101100000100111001111011001010110101110110000

636	135	01101001100110111100011000011110011000101001101100

590	144	01101111100111100011100000010100001010110001111011

670	114	11010000001001101111101101111110011001001100011000

819	132	11101000000100001111101101111110011011001011101011

420	83	00100101010010111101000001101110000000010001000001

677	164	01010111011011010001010110101100111010101100010101

684	124	11010110000000010000101101011110111010100110000011

650	141	11001000010001010111110000010001011111110110100011

528	114	00100101011100101100010101100001000011001011110001

674	136	01001110111010010100110001110110000100111011101110

625	131	00011100000111010001000111110011001010010101000001

717	129	00010111101100100010011011001111011000110111010100

646	132	10000101101111001000000011100011011110011000100101

550	117	01100110010000010111001100001001110110011010011000

515	111	11110111001100110000100101000000100000101010011101

748	141	01010110110001001010101101001001111110000010110111

614	108	00111101010011001011010010111010000000010011111100

606	120	00101000111001101101101010101101100000100010110110

679	121	11001110011101101010100010100111110000010000011011

847	176	01000000111110110110011110111100111111101110011101

747	167	01011111001000110001011110010111100110001001111111

456	116	00000001001110110100010000110011110000001101001010

629	126	01010000011000111001111111110110100000100110101001

733	146	11111110000101011010011111000000000110111110100000

592	141	01100010001111110110001100000100110010011100111001

674	136	00110001000100111111111000110111110011011010111000

726	150	01101110011111101010000101001001110010001101110101

740	157	00100111111110010001100010111110001110000111010101

537	133	01010101011101000101111010101101010001010011110000

817	157	11100011001110001001111100111110011011100010111101

627	128	01111011001001101011100111101000101001000010100010

601	106	01101001010000111110010001100111100001111011001100

621	127	11011010100111100111100110011000000011000010010100

574	143	11110100100111110100111000011010010111000000010000

516	85	10100001010101000011001100100110111000000001001000

781	175	01111110001111101101110001100001011101000111100101

665	123	10101101110001001010000100001101001011100101111011

772	128	00111000000011111010110000010110011011110111110110

634	136	00000101101000100110011101011010101111111111100000

589	136	11110101000100111001010110101000101100110000001011

495	103	01001110100011011000000010000001010000011010011100

534	140	01100000100111011101001000101000010011011100110001

640	105	11100100111000101000000101110111010011010001011100

711	163	00111011100111011101010001110000011011011000001111

487	105	01011001100010100001000101001011001100011100010100

887	160	00101011001110101111011111001010111001010011111111

658	151	11000000101110001101111111010101110100101101001100

574	133	01110001010100111101101110100001110100101010000000

896	161	10111101010011100010111011111110110111111111011100

657	126	11001000000001011101001101110010101111011010000001

641	142	00011111101010100100011010101001010000101010100111

565	116	00000001111001000000001101110110100111110011000011

740	168	01001101101101111001100110110110101100110110100010

693	110	00000110010010011010001101010101010110000110000110

849	171	11110010010110011110111011111001110110100110011010

713	143	10001101100000011010110110000101011110111100101011

720	126	10001101010010100010101011111101111110000110011000

663	150	01111011101000000101001100100111011110010100110000

542	92	11101000110000000010101101011001111000010011001000

576	118	00011011010010010000001000100001100011010101010111

721	150	00001001001111111110010000101011100100100111010111

431	84	00000000011010110000100010101000110010101010011010

599	105	10100100011011101101001000001110110001000001010111

685	133	11100100001100100001110011100011001011000111011111

702	142	00101001111100101100110110100110101101001110000101

638	126	11010011010110000100011110011010111000101001010100

494	104	11010011110101100111101001000010000000101000011010

470	112	01010100000111011000100001001101100101110100000100

639	130	10011011111010100001010000110010010110110010010011

522	124	01111000100011100001101000001000010110110110100100

612	123	10110000011101000100011001010101010010110101010111

634	140	11110001011101101110010010100001101010110111101000

793	166	10011111101111101101000100111111101100011001110010

671	115	11011100010011101000010100000011101010011011110110

574	101	00111100000001110011101001101101010001001001001100

687	157	00101101111111000110010110001101011100110001101011

522	115	01001001000010000100111000000011011100111001111101

740	126	11011010010011110010001101110001000101100010011101

548	129	11101001110010001101000001011001100111001011001011

823	165	01100111001011011011000101111001011001111111110110

562	117	11111010001111000001100001100011000001001101001100

750	160	01001011011101011101010110000111110010010011101110

675	150	00110001101111100001101101010101111110010010010110

822	165	11011001110110100100111111100111001100110111100011

684	135	00100101110001110010110101110010011001110100011101

479	94	10000001000100000110101101000101110011001101001000

452	93	10110010100001100010010001010000110101001010100000

639	138	10001001110111100111010100100000011111010100011000

639	130	10110010101011010011110000100111010000101101100100

514	110	00010000100110011101000001001010100011110111010001

654	117	01011011010110001001001100000110000110001010011111

752	143	00111110101110001001001100101010000011100100111110

545	96	10001110110010101010110001001010000100001100010001

601	113	10011100000011110001111010000100011010011010000101

504	102	00110010101000110011110000010110000101100011101000

603	122	00111000100110010010100000010011101010110111000011

565	115	10110100011101011101100010110000000100111011000010

829	133	10101000010010011010101110101110101110001101111011

582	107	10000110101011010010011001010100000001111011101100

651	137	00111010001110001110110111111100100100111000100001

625	110	10011000011001111011010000100101001011001001101011

660	124	00100010001001110111000110001010000111110011001111

899	166	00010100010011011111111100111111011111010110101101

579	140	11001101101100010100111000100000001010110110100010

793	169	01111111101110101001101111101000011011110010110000

787	158	10111011110101110011010010011100011010111110111010

580	119	01011001010111100010001100110100000011001111000001

645	130	01000101011011001011101001111100001101111101000110

825	163	11011010110101110010011001010111101110110100000111

525	107	10010000001111100000101111001111100100100100000000

625	153	01010101011101010101111001110010010000111111101001

829	158	11010010111111001011101000111011111110111011000100

833	180	11010001101111111100111110101010110011010011001111

661	144	01011111010011101101000010110111000000111101011011

869	148	00011110011111001011101111111110010110000011001010

710	155	11111110100001111011000100010001100110010100000111

825	186	01101111101011101000001110111001001110111110101101

543	113	01100010101101000010100000100110101000111101110100

558	116	11001011010100001001110110100100000100011001111001

724	133	01001110001000001011001001110000111101110110101101

472	87	00110001010010001010010110001000111001100000010010

732	141	10010000111111110111001010111010100011000010110101

702	145	11111000000011010101000010111110101111100011110001

627	108	10110000110000101101010100000100111001101111100110

668	134	00110010100000101001011010111111110001110001110011

709	143	00111011100011010011001000110111000110111011011010

739	146	11111100001001010100101101110100001010101101010111

558	112	11000100000001110000101010110100000011100111101010

794	143	10110111011100111011010111011100010001011111000101

845	141	11111110010001001011111010111111011100001010011100

697	122	00000010001010010010001101110110101111000110110001

700	120	10111100101010011110000001101101001110110001010100

585	127	00101100111110100010011001001101100001100100110011

699	142	11010111101010100111101011011110101001010101010100

703	156	00000101111011100011011101100011111110100001110001

720	146	01100010110000111100100011010011110100001111110111

780	158	11011100111110111100110110000011101101110011111000

670	135	01010101101100001001000011011110011010000110110111

557	110	11101000110001000000101100001011110101111011001000

621	105	00011000010000111011010000011111001111010101001010

633	126	01100000010001000110111011101100011111110011101001

788	168	10011110111001010101011101111000110111001011011001

462	95	00000100001000001100101100111000001111001100001000

606	116	00000110011001110010011000101011011100010000110001

634	128	10110100111100000001010011111010101101011100101100

720	132	00101010101001001110101101111000000011100111011100

688	139	10111100100011010011000010011100110110000001110111

748	132	10111101000010010100001110100010101100111011001111

657	128	01110011011110101011000011010101011001010010101011

698	140	00101010010101111101010110010011011100101001011000

683	138	11000110110011000110110101110110111001010101100000

802	166	11011000101101011100110101101101111011101111000100

703	152	01101111000110100011010101110010110101100010110001

639	100	11101010011100001111001001100100101001001010001100

827	162	01011101110100001011011101011101010111101111010110

662	149	01100111001110101000011000001100010111111110000111

487	124	10100011111111100001001000000000000110000110100001

503	111	01010101000100010011010000010111011101010001101000

646	120	11000110010111111100100100101000011000000010110010

535	133	00000101100001011001011001110010100111010000111001

649	146	00111011110100010001010001011101010111110010010011

850	160	00110111100000011111111101100110011101011111101010

707	133	00001001110100000110101101111011100101101110110100

729	147	11100001000110110111010101101011111011001001001110

642	129	00010010011101110110010010110011011001110000101001

601	126	00000001010010110101010011110110110001100111111001

823	171	11101011001001011111011110011100010110011111100100

624	132	00100100100101011101011011110110001000010110001001

520	109	00010000010101010100110101010110110101101010000001

582	103	01110000110010101100000001010111001111101010011100

576	133	11111011101000000000010010100010010010011101100011

754	155	01101100111000101011011110101111101010100101100001

654	105	10010110110000010010001010001011110100011010011101

694	125	00001110110001010010110011111111000001010011100101

823	156	10011100110100111101001111101001101100100100110101

417	117	01111011001100000101000000001010000110101100000001

702	157	01010111110000001001111101011110010110101101100011

551	136	00110111001101000100010000011010111100110110101000

882	167	11101111000011101110110101011011011110011011101110

708	133	00100110100000101110010110011011000010011111101111

701	129	11100000010100010101001111111100101001100101011110

755	147	00001000001110110111010011101111111111001010001011

462	76	10011011001000100000001011100110100001000000010000

592	123	10100101100100011010111000011100001101000101011001

515	139	01011111000110100001010001110000000111000100101001

628	136	01101000110011100000100101111101111111001010101000

801	145	10011100001111001001100111110101010101110110111100

817	164	10111111101110111001110110101000001100010011100110

681	114	00010010010100011110100001110111110111000000000110

781	156	10010111110100111101101100101101110011111011110000

685	150	01101100001010110100101010111011110010001001111101

571	102	10000101010000000001000011110011111010010000101111

616	113	10001010011001011111100000111100000110011111000000

551	127	00100001010011010000110011010011110100010001101111

824	165	00111100111010011100111001110001111110100010111110

529	136	01010010000001110001111010001000100101111101101101

663	140	00000101001101011110011101111000001111111010100000

