Rucsac: Solutie Random n-10 k-10000

Solutii:
V	G	Solutie
59	17	0101011000

159	34	0111100110

116	24	1010010101

80	7	0000110001

117	27	1010011010

167	32	0001101111

111	28	0110010110

222	50	1111011111

175	38	1010011111

175	27	1000110111

150	28	0110111101

129	34	0111011010

128	31	0111010101

108	26	0110001010

131	29	0011100110

75	15	1100011000

189	34	0110110111

215	41	1011110111

128	24	0011101001

154	37	1101011110

175	44	1111011110

143	28	1110011001

129	34	0111011010

124	27	1010001101

111	21	0010101010

158	30	0111111001

154	33	1110011101

98	29	1011011100

126	20	1000100110

157	28	1010111101

113	23	1001011001

174	28	1110111001

84	18	1101010000

118	28	1010010110

196	34	1010110111

138	23	0110100101

172	31	1101101010

138	23	1010110010

196	40	1111110110

157	22	0100110011

124	22	1101100100

97	24	0011001001

23	8	0010010000

125	29	0111001001

89	22	0010001101

89	26	0001001110

95	22	1110000100

148	35	0011011011

81	18	0011101000

101	18	1001000001

124	27	0010111110

89	17	0101100100

97	13	0001100001

70	14	0010010001

150	32	1101001101

82	11	0000110010

97	21	1000010110

176	28	0110100011

96	16	0000000011

103	18	0010110010

112	23	0001110110

56	14	1000001100

166	30	1100111110

136	26	0100011011

77	15	0100000010

131	25	1100001101

88	20	0100000110

176	30	0100101111

138	21	0000100111

59	11	0000011001

190	26	1100100011

197	36	0111110011

49	14	0100001100

183	29	1001110011

153	21	1100111001

133	22	1000010011

142	28	1110000101

164	37	0101001111

58	13	1010010000

172	31	1101101010

127	19	0101110001

94	18	0101000001

66	16	1010001000

95	23	1101010100

164	33	1010011011

85	12	1001100000

184	32	0101101011

92	21	1101001000

60	11	0001101000

135	22	0101101001

148	29	0111100010

175	38	1010011111

91	25	0011010010

138	21	0000100111

91	27	0001011110

91	25	0011010010

164	26	1100111101

94	18	0101000001

70	17	0010000010

108	22	1001111100

135	22	0101101001

117	26	0111010001

122	27	0001111110

172	31	1101101010

89	26	0001001110

99	13	0010100001

183	31	1111110001

120	28	0111101100

65	17	1001000100

41	11	0100010100

111	24	0111111000

187	33	0110100111

106	15	1100111000

100	18	1010110100

129	19	0110110001

142	29	1101010101

103	18	0010110010

113	22	1010001001

128	21	1000110110

32	12	0010000100

93	16	1000000101

81	18	0011101000

156	27	0001101011

114	29	1111000100

89	20	0100011010

97	16	1010101000

68	6	1000110000

141	28	1101011001

116	24	1010010101

116	23	1011101000

78	10	1000111000

130	25	0011111001

96	28	1011001100

100	25	0100011110

140	28	0101110110

115	12	1000110001

125	26	1100010110

49	7	0000010001

138	25	1000111110

164	22	1000110011

127	27	0010001011

148	24	0001110011

183	34	1111100010

52	9	0000101100

157	28	1010111101

51	19	0011000100

142	32	1101000110

202	35	1011100011

221	38	1101111011

136	19	1010110001

110	22	1010111100

117	29	0111000010

138	33	0001011111

43	5	0000111000

122	29	0111111100

132	29	0011111010

152	28	1010000011

206	40	0111100111

61	17	0110011000

159	31	0111110101

105	19	1010010001

143	28	0101000011

134	22	1001100010

54	12	1001000000

89	28	0111001100

152	32	1110001101

154	25	1100100110

134	33	1011001010

105	23	0101000101

159	26	1100000011

63	13	0001110100

159	34	0111100110

92	15	0000111010

70	16	0000011101

148	26	0111110001

78	6	0000100001

176	35	1011111101

201	43	1101011111

98	22	0110000010

122	24	1100001010

82	11	0000110010

128	29	0001010111

113	22	1010001001

120	26	0001101110

141	31	1101001010

98	29	1011011100

148	26	0111110001

190	37	1110001011

166	34	1011100110

96	20	0100001101

166	34	1011100110

117	23	0010000011

124	29	1011000010

134	18	1010100001

73	17	0001111100

123	25	1100000110

82	22	0010011010

125	29	0111001001

223	44	1011101111

127	18	0110100001

139	23	0110111001

195	37	0101101111

117	27	0110001101

71	16	0001101100

150	30	1111000001

145	29	1111100100

59	5	0100100000

96	16	0000000011

144	28	1111101000

101	16	0000111101

136	24	1000101110

180	35	1100001111

62	12	0001111000

77	20	1011010000

96	28	1011001100

123	22	1100010101

126	32	1001011110

154	25	1100100110

111	24	0111111000

11	5	0000000100

99	13	0010100001

120	22	0010101101

119	28	0110011101

99	13	0010100001

104	14	1100101000

110	16	1100000001

171	37	1001001111

96	16	0000000011

179	35	0011111011

135	22	0101101001

129	23	1101000001

119	30	0111010010

89	28	0111001100

108	29	0011001101

77	22	1001011100

172	32	1100010111

174	34	1011101101

117	27	1010011010

95	17	1000010101

162	35	1111011001

127	22	0101100010

117	20	1100111100

107	23	0110000101

101	29	0011011010

132	29	1011001001

253	50	1111111111

116	24	1010010101

80	7	0000110001

173	28	1110100101

193	39	1110010111

99	17	0001100010

122	25	1011000001

80	24	0111011000

143	31	1110001010

108	20	1011110000

206	38	1010111111

122	23	0010111101

124	16	1000100101

173	43	1111001110

162	21	1000100011

129	23	0101110010

162	35	1111011001

45	9	1000001000

115	27	1001011010

151	20	1100101001

82	22	0010011010

136	34	0111001101

109	22	0000010111

164	30	1011100101

182	36	1100011111

59	14	0000001010

184	41	1011010111

136	32	0001001111

136	34	1011011010

143	32	1101011010

164	30	1011100101

186	33	0101111011

84	12	1000010001

169	31	0011110011

251	49	1111101111

122	27	1001001101

142	32	1101000110

60	18	0101010100

142	29	1101010101

63	10	1100000000

96	22	1110011000

204	43	1111101110

174	26	1000111011

88	17	0100010101

141	27	1110001001

196	40	1111110110

126	17	1000110101

108	27	0101011010

148	35	0011011011

127	27	0010001011

91	25	0011010010

160	28	0010111011

195	33	1010111011

41	4	0000101000

12	5	0000011000

96	16	0000000011

165	34	1010010111

103	18	1010000001

197	37	0110101111

125	22	1101111000

80	22	0001011010

120	21	0011110001

61	15	0000011010

128	31	0111010101

65	13	0010110100

150	31	0110101110

10	4	0000001000

173	38	1001011111

145	38	1011001110

114	21	1100010010

93	18	0110110100

187	37	1110111110

80	12	0110100000

119	25	1011110100

190	26	1100100011

133	26	1100011101

117	31	0101001110

129	28	0010011011

126	17	1000110101

70	20	0111010000

164	26	1100111101

60	11	0001101000

152	29	1001010011

136	24	1000101110

83	23	0010010110

173	29	1101110101

117	28	0101011101

144	27	1000010111

136	32	0001001111

113	22	1010001001

105	22	1010000010

31	0	0000100000

112	17	1100010001

80	12	0110100000

145	29	1111100100

75	17	0010111100

164	37	0101001111

63	10	1100000000

152	31	1111010001

127	19	0101110001

119	30	0111010010

129	29	1011111100

149	28	1010110110

146	33	1110010110

56	12	1010000000

220	49	1111001111

142	22	1001101001

189	34	0110110111

143	20	1100100010

106	26	0101001010

240	44	1111101011

195	33	1010111011

156	33	0110000111

128	32	1010011110

144	29	1110010101

91	18	0101110100

65	11	1100010000

154	33	0101000111

162	21	1000100011

191	34	1111101001

70	14	0010010001

80	10	0000100010

126	30	1011010010

157	28	1010111101

148	31	0101101110

80	21	0010001010

185	44	0111001111

108	15	0100100010

175	33	1101110110

129	23	0101110010

87	19	0100001010

141	33	0011101110

115	19	1100101100

105	19	1010010001

99	28	0011001010

99	28	0011001010

47	6	0000000001

100	26	0011010101

107	23	0110000101

77	10	1000100100

188	33	0110111011

124	27	1010001101

138	31	0011010011

112	20	1100000010

171	33	0010111111

159	31	0111110101

170	27	1101101001

124	33	1111001100

146	34	0011001011

80	10	0000100010

99	25	0011011001

111	22	1001001001

146	29	1111111000

115	17	1110100000

99	21	0101101100

117	18	1110110000

89	24	0011000010

100	25	0100011110

89	21	0011010001

66	13	0001000001

191	39	1101010111

81	22	0010000110

177	41	0111010111

137	23	0101111001

131	29	0011100110

211	34	1101110011

169	33	0001111111

59	17	0101011000

103	22	1001000010

187	45	0111011111

59	14	0000001010

172	32	1100010111

184	32	0101101011

204	36	1011110011

140	24	0110110101

21	7	0010000000

54	10	0000111100

101	29	0011011010

80	10	0000100010

128	21	1000110110

204	40	1111111101

126	32	1001011110

205	39	0111101011

63	12	0010100100

135	30	1100011110

138	32	0010001111

69	9	0100101000

84	15	1000000010

195	37	0101101111

125	19	1000101010

115	18	1101110000

168	35	1011110110

169	30	1100001011

10	4	0000001000

132	18	1001100001

158	27	0010101011

121	21	0100110110

95	22	1110000100

91	17	0110100100

63	24	0011011100

174	32	1101111010

51	13	0110010000

75	11	0100000001

169	33	0001111111

150	28	0110111101

213	34	1110110011

131	23	0110110010

120	26	0001101110

153	24	1100101010

174	28	0101100011

128	34	0111000110

124	29	1011000010

89	26	0001001110

91	18	0101110100

101	22	0101111100

78	21	0001001010

77	15	0100000010

173	38	1001011111

155	25	1100111010

152	28	1010000011

131	29	0011100110

80	22	0001011010

157	28	0001100111

68	17	0001000010

175	27	1000110111

189	38	1101000111

170	31	1100000111

119	24	0010010011

106	19	1011100000

31	12	0001011000

142	22	1001101001

114	23	0010110110

133	28	1101010010

162	27	1101100010

105	25	1111010000

147	30	1111110100

87	24	1011011000

99	28	0011001010

60	11	0001101000

203	32	1100110111

23	8	0010010000

88	25	1011010100

91	26	0010001110

184	41	1011010111

59	5	0100100000

94	22	1101011000

137	23	0101111001

144	33	1101010110

129	34	0111011010

99	19	0111100000

144	32	1110000110

60	18	0101010100

187	33	0110100111

161	33	1001000111

87	24	1011011000

180	36	0011110111

139	21	0000111011

126	23	1101110100

131	29	0011100110

89	13	1010110000

122	24	1100001010

81	23	0001010110

166	30	1100111110

111	18	0010111001

146	23	1010111001

193	38	1111101010

79	22	0001000110

174	39	0111001011

133	22	1000010011

68	14	0001010001

66	16	1010001000

213	40	1011100111

35	5	1000000000

125	27	0001001011

119	31	0110001110

50	7	0001100000

120	23	0001111101

70	18	0001010010

81	22	0010000110

188	39	0011101111

211	33	1110100011

77	20	1011010000

40	10	0100011000

204	37	1010101111

58	11	0000000101

107	16	1100110100

108	27	0101011010

60	15	0000000110

86	16	1000010010

33	1	0000110000

49	10	0000000010

129	34	0111011010

115	27	1001011010

147	27	1010100110

147	28	1001110110

110	16	0100110010

162	33	1001011011

108	22	1001111100

173	38	1001011111

52	7	0010100000

65	11	1100010000

141	30	0011111101

56	14	1000001100

141	28	1101011001

70	16	0000011101

180	33	1110000011

108	27	0101011010

103	22	0110111100

180	36	0011110111

109	27	0110000110

195	33	1010111011

145	21	1100110010

143	31	1110001010

174	26	1000111011

34	13	0010010100

144	33	1101010110

188	39	0011101111

189	34	0110110111

130	35	0111010110

45	9	1000001000

183	30	1000101111

164	24	1110110001

109	23	0111101000

177	41	0111010111

80	12	0110100000

80	21	0010001010

93	22	1101000100

58	15	1000011100

143	20	1100100010

72	11	0100110100

133	30	1011000101

230	40	1111100011

98	29	1011011100

117	26	0111010001

101	20	0111110000

127	19	0101110001

189	38	1101000111

116	24	1010010101

147	24	1010110101

92	15	0000111010

187	45	0111011111

126	32	1001011110

58	13	1010010000

76	17	0001001001

193	33	1001111011

66	13	0001000001

203	43	1110011111

150	32	0101111110

95	22	1110000100

101	19	0000101110

201	42	1110001111

139	27	0101111010

134	30	1011011001

145	35	1011011101

159	32	1010111110

171	35	1011000011

157	28	1010111101

124	33	1111001100

91	18	0101110100

145	35	1011011101

76	9	1000101000

47	12	0101000000

13	6	0000010100

138	33	0001011111

51	13	0110010000

139	29	0011101101

116	15	0100101001

158	33	0111101010

183	29	1001110011

147	27	1010100110

128	24	0011101001

97	23	1110010100

139	29	0011101101

149	28	1010110110

177	33	1110110110

169	38	0111101110

127	16	0000100011

56	14	1000001100

78	10	1000111000

122	23	0010111101

192	33	1001100111

127	18	0110100001

169	33	0001111111

156	27	0001101011

253	50	1111111111

108	21	1010101100

115	23	0001000011

0	0	0000000000

190	37	1110001011

92	15	0000111010

136	32	0001001111

173	43	1111001110

72	20	0000011110

31	12	0001011000

161	27	1100010011

183	31	1111110001

185	37	1101111110

87	12	1010100000

108	22	1001111100

157	32	1001111110

104	14	1100101000

151	20	1100101001

124	16	1000100101

122	27	0001111110

122	25	0011110010

86	16	1000010010

174	39	0111001011

136	34	0111001101

79	18	0010000101

112	19	0010110101

164	39	1111011010

115	19	1100101100

173	36	1011010011

133	27	1110000010

146	27	0101101101

70	20	0111010000

133	26	1100011101

89	13	1010110000

135	30	1100011110

30	6	0100010000

86	18	1110010000

60	17	0110000100

182	36	1100011111

201	42	1110001111

110	16	0100110010

101	22	0101111100

183	30	1000101111

213	34	1110110011

201	42	1110001111

145	30	0100001111

96	11	1100110000

138	32	0010001111

103	20	0000111110

206	44	1111111110

97	13	0001100001

112	23	0001110110

138	35	0111011101

117	18	1110110000

64	16	1001001000

64	12	0010111000

136	21	1000111101

118	22	0001101101

135	31	1011010101

148	28	0101111101

89	13	1010110000

69	18	1010010100

169	31	0011110011

51	15	0100011100

160	34	0111111010

167	34	1011111010

167	34	1011111010

126	17	1000110101

165	40	1111010110

176	28	0110100011

95	20	1000000110

164	29	1100101110

240	44	1111101011

85	23	1011001000

107	25	1000011110

212	39	1011101011

118	16	0100111001

33	12	0010011000

136	24	1000101110

160	23	1101100001

139	27	1101001001

145	30	0100001111

123	25	1100000110

133	22	1000010011

119	32	0101011110

91	15	0000100110

188	33	0110111011

124	27	1010001101

138	24	0101110101

62	11	0010101000

118	20	0011100001

221	37	1110101011

108	12	0100110001

101	29	0011011010

68	17	0001000010

216	44	0111101111

145	23	1010100101

199	38	0110111111

122	27	1001001101

95	20	1000000110

112	17	1100010001

131	21	1000000011

66	5	1000100000

126	32	1001011110

109	27	0110000110

46	10	1000000100

88	16	0101101000

93	18	0110110100

115	12	1000110001

40	14	0011000000

167	34	1011111010

118	24	1011111000

185	37	1101111110

89	17	0101100100

126	30	0111000101

93	16	1000000101

197	38	0101111111

96	22	1110011000

110	16	0100110010

126	32	1001011110

161	35	1111000101

253	50	1111111111

210	45	1111000111

171	33	0010111111

191	34	1111101001

148	35	0011011011

77	21	1010001100

157	30	1011110010

113	22	1010001001

113	23	1001011001

70	21	0110001100

87	19	0100001010

146	33	1110010110

163	39	1111000110

95	20	1000000110

122	27	0001111110

57	16	0101001000

91	12	0000110101

196	40	1111110110

223	38	1110111011

165	30	1011111001

173	40	1111011101

92	17	0110111000

122	26	0010101110

80	18	0010011001

148	28	0101111101

140	33	0010011111

136	26	0100011011

97	23	1110010100

93	18	0110110100

131	21	1000000011

99	17	0001100010

107	27	0101000110

32	12	0010000100

133	24	1110010001

177	34	0011101011

206	38	1010111111

30	6	0100010000

105	19	1010010001

188	33	0110111011

121	21	1100000101

175	32	1110100110

126	31	1010001110

208	41	0111110111

113	23	1001011001

142	32	1101000110

91	27	0001011110

98	21	0100011101

134	30	1011011001

68	17	0001000010

157	30	0111100101

121	21	1100000101

193	35	1111111001

174	26	1000111011

124	33	1111001100

133	24	1110010001

161	35	1111000101

147	31	0100011111

192	35	1111100101

91	29	0111011100

92	23	0011101100

182	34	1110010011

146	26	1010101010

141	27	1110001001

103	22	0110111100

173	32	1101100110

167	26	0100111011

28	5	0100000000

150	32	0101111110

127	33	0111001010

122	23	0010111101

155	25	1100111010

63	24	0011011100

145	29	1111100100

163	39	1111000110

58	13	1010010000

169	31	0011110011

106	11	0100100001

66	13	0001000001

82	11	0000110010

142	28	0110110110

80	10	0000100010

108	22	1001111100

60	18	0101010100

103	24	1111000000

187	34	0101110111

103	18	1010000001

132	29	0011111010

57	16	0101001000

89	22	0010001101

94	16	1000011001

85	12	1001100000

166	37	0110001111

138	31	0011010011

117	25	0000001111

72	20	0000011110

140	39	0111011110

92	23	0011101100

42	5	0000100100

98	21	0100011101

93	16	1000000101

60	17	0110000100

82	11	0000110010

50	18	0011001000

77	10	1000100100

100	18	1010110100

118	20	0011100001

126	34	1111011100

141	33	0011101110

162	35	1111011001

140	39	0111011110

165	30	1011111001

173	26	1000100111

168	27	0100110111

141	33	0011101110

49	14	0100001100

102	30	0011010110

79	22	0001000110

137	35	1011010110

115	19	1100101100

115	26	1010001010

147	35	0011000111

131	26	0011110101

131	24	1101010001

136	26	0100011011

112	20	1100000010

29	11	0001001000

32	12	0010000100

80	7	0000110001

167	34	0111101101

202	31	1100111011

152	33	1101011101

202	37	1001101111

136	27	1101111100

169	33	0001111111

147	24	1010110101

165	40	1111010110

43	5	0000111000

143	17	1100110001

202	37	1001101111

139	27	1101001001

64	12	0010111000

107	16	1100110100

127	20	0100101101

44	6	0000110100

98	21	0100011101

93	27	0010011110

202	37	1001101111

223	44	1011101111

146	27	1001111010

85	15	0100001001

162	25	1100101101

180	35	1100001111

65	17	1001000100

181	28	1001100011

157	32	1001111110

108	18	0001100101

117	31	0101001110

181	32	1101101101

109	18	0001111001

187	33	0110100111

103	22	1001000010

161	35	0111110110

153	27	1001101101

103	26	1101001100

190	37	1110001011

58	17	0101000100

13	6	0000010100

89	24	0011000010

139	29	0011101101

181	32	1101101101

124	27	0010111110

205	39	0111101011

96	11	1100110000

74	15	1100000100

101	14	0010110001

155	32	0110001011

163	34	1001010111

127	20	1000111010

76	17	0001001001

173	32	1101100110

134	25	0100001011

148	24	0001110011

65	13	0010110100

88	10	0000101001

172	32	1100010111

138	38	0111001110

117	16	0100100101

242	45	1111111011

117	27	1010011010

50	18	0011001000

122	27	0001111110

144	32	1110000110

192	44	1011001111

185	33	1110111101

127	27	0010001011

119	32	0101011110

136	19	1010110001

80	10	0000100010

142	26	1000000111

132	29	0011111010

168	27	0100110111

136	23	0101100101

109	21	0001101010

204	43	1111101110

193	38	1111101010

21	9	0000001100

40	10	0100011000

132	29	0011111010

213	34	1110110011

175	38	1010011111

135	30	1100011110

112	17	1100010001

95	20	1000000110

66	17	1001011000

175	33	1101110110

155	25	1100111010

107	21	0000000111

140	28	1101000101

137	26	0101101010

94	10	1100100000

176	30	0100101111

131	24	1101010001

31	11	0010001000

172	27	1110101001

138	32	0010001111

88	25	1011010100

108	15	0100100010

182	40	1011000111

148	25	0000101111

115	23	1010011001

241	45	1111100111

201	43	1101011111

65	17	1001000100

171	39	1111001101

145	29	1111100100

107	25	1000011110

95	20	1000000110

154	33	1110011101

174	28	1110111001

106	22	0110001001

54	8	0010110000

126	22	0100010011

175	33	1101110110

171	28	1101100101

75	17	0010111100

197	36	0111110011

80	13	0101110000

154	33	0101000111

115	18	1101110000

49	10	0000000010

187	45	0111011111

179	35	0011111011

180	33	1110000011

82	22	0010011010

125	29	0111001001

152	33	1101011101

109	23	0111101000

117	24	1011100100

194	45	1011011111

136	34	1011011010

50	7	0001100000

143	28	1110011001

121	21	1100000101

166	36	0111010011

169	33	0001111111

166	30	1100111110

45	9	1000001000

202	35	1011100011

136	32	0001001111

213	34	1110110011

204	43	1111101110

178	33	1101000011

127	20	1000111010

91	12	0000110101

100	18	1010110100

161	35	1111000101

197	37	0110101111

131	23	1110000001

134	24	1111100000

87	19	0100001010

31	0	0000100000

110	33	0011001110

105	27	1101011100

75	11	0100000001

121	32	0110011110

122	26	0010101110

174	34	1011101101

45	9	1000001000

129	34	0111011010

125	27	0001001011

194	39	1111100110

139	27	0101111010

53	20	0011010100

140	24	0110110101

145	29	0101010011

156	27	0001101011

87	19	0100001010

138	31	0011010011

149	36	0011010111

49	7	0000010001

176	30	0100101111

232	41	1111110011

160	28	0010111011

51	13	0110010000

98	18	1001110100

144	23	1001111001

158	30	0111111001

150	24	0010110011

100	23	0110010010

91	25	0011010010

150	31	0110101110

141	30	0011111101

167	34	1011111010

42	16	0010001100

157	28	1010111101

110	30	0011011101

147	30	1111110100

197	36	0111110011

170	27	1101101001

117	20	1100111100

126	31	1010001110

56	14	1000001100

107	21	0000000111

129	28	0010011011

115	15	1000100010

112	17	1100010001

216	44	0111101111

93	22	1101000100

142	28	0110110110

174	34	1011101101

112	25	0111110100

88	17	0100010101

164	39	1111011010

202	35	1011100011

178	35	0011100111

97	16	1010101000

110	18	0010100101

139	27	0101111010

135	30	1100011110

185	29	1010110011

182	34	1110010011

97	23	1110010100

130	29	0010010111

143	34	1011001101

78	12	0101100000

175	33	1101110110

56	13	1001010000

90	11	0000111001

141	27	0110111010

72	22	0110011100

72	11	0100110100

94	22	1101011000

154	37	1101011110

135	34	1011000110

148	28	0101111101

103	20	0000111110

176	28	0110100011

155	32	0110001011

109	17	0010101001

148	28	0101111101

172	31	1101101010

96	20	0100001101

133	30	0011110110

154	22	1100110101

115	23	1010011001

183	31	1111110001

95	17	1000010101

127	27	0010001011

190	26	1100100011

109	24	0110010101

142	29	1101010101

75	15	1100011000

146	26	1010101010

145	35	1011011101

138	21	0000100111

204	38	1001111111

30	12	0001000100

166	30	1100111110

206	44	1111111110

79	16	0100010010

187	33	0110100111

12	5	0000011000

169	30	1100001011

166	31	1011110101

195	33	1010111011

87	19	0100001010

172	28	1101111001

127	18	0110100001

133	30	0011110110

87	22	0001001101

137	26	0101101010

42	15	0011010000

81	22	0010000110

209	33	1101100011

160	28	0010111011

56	12	1010000000

86	16	1000010010

204	43	1111101110

152	33	1101011101

86	16	1000010010

174	39	0111001011

115	23	0001000011

67	18	1001010100

89	21	0011010001

100	26	0011010101

77	15	0100000010

171	31	1100011011

68	21	0101001100

177	34	0011101011

154	25	1100100110

101	18	0001110010

164	35	0111000011

89	23	0001011101

192	44	1011001111

161	35	0111110110

141	25	1000001011

90	17	0101111000

191	39	1101010111

138	27	1110111100

187	37	1110111110

130	35	0111010110

117	18	1110110000

114	27	1001000110

78	10	1000111000

218	45	0111111111

127	22	1110111000

145	24	1001110101

107	24	0101010101

202	37	1001101111

120	21	0011110001

206	44	1111111110

210	45	1111000111

113	17	1101100000

135	22	0101101001

79	24	0111000100

199	42	1101001111

60	17	0110000100

163	29	1011101001

62	12	0001111000

136	23	1001110010

197	38	0101111111

166	34	1011100110

